station_id,station_name,county_name,town_name,twd67_lat,twd67_lon,wgs84_lat,wgs84_lon,distance_m
C0C800,四稜,桃園市,復興區,24.6796,121.4211,24.64733,121.4293,3682.692142709006
C0S840,南田,臺東縣,達仁鄉,22.291944,120.881944,22.279725,120.889208,1550.685877200511
C0I110,竹山,南投縣,竹山鎮,23.764722,120.677778,23.761225,120.688156,1125.4551198354145
C0FA70,大雪山埡口,臺中市,和平區,24.2744,121.0224,24.26867,121.03062,1048.9174933582908
C2V250,甲仙,高雄市,甲仙區,23.081667,120.5825,23.080106,120.591758,962.8133899633864
C0F9N0,大里,臺中市,大里區,24.094389,120.692194,24.092464,120.701378,956.505144888611
C0AD50,鶯歌,新北市,鶯歌區,24.953,121.33725,24.951533,121.346294,926.256311145788
C0G660,溪湖,彰化縣,溪湖鎮,23.95175,120.471056,23.94835,120.479122,902.6619851307408
C0H960,草屯,南投縣,草屯鎮,23.975444,120.672194,23.973672,120.68085,901.2663960086934
C0F9T0,西屯,臺中市,西屯區,24.182028,120.632861,24.179494,120.641275,898.8105739281208
C0AD10,八里,新北市,八里區,25.15225,121.395306,25.150211,121.403947,898.8039922986349
C0C630,大溪,桃園市,大溪區,24.884722,121.256944,24.882853,121.265547,892.3393791552631
C0X080,佳里,臺南市,佳里區,23.175,120.136667,23.173039,120.145086,887.8100671912757
C2M410,馬頭山,嘉義縣,大埔鄉,23.326389,120.573611,23.324361,120.582017,887.4410176163503
CAAD80,國五N008K,新北市,石碇區,24.985201,121.659868,24.982411,121.668089,884.768600159089
C0I010,廬山,南投縣,仁愛鄉,24.035,121.173333,24.033311,121.181808,880.9281417027164
C0V360,內門,高雄市,內門區,22.976944,120.458333,22.975481,120.466769,878.8108970835921
C2A660,瑞芳,新北市,瑞芳區,25.114861,121.792639,25.113169,121.801147,877.0298551380079
C0F9M0,豐原,臺中市,豐原區,24.256306,120.712333,24.254322,120.720692,875.6727789935062
C0T9M0,靜浦,花蓮縣,豐濱鄉,23.456944,121.486667,23.455167,121.495028,875.465502865882
C0A550,泰平,新北市,雙溪區,24.973056,121.815278,24.971197,121.823711,874.8164640113789
C0D580,寶山,新竹縣,寶山鄉,24.736722,121.016769,24.735006,121.025192,871.7965912537852
C0V210,復興,高雄市,桃源區,23.224167,120.797778,23.222403,120.806089,871.6197829613213
C0H9C0,合歡山頂,南投縣,仁愛鄉,24.144778,121.264083,24.143442,121.272547,871.5750252932431
C0T9F0,水璉,花蓮縣,壽豐鄉,23.798889,121.534167,23.797131,121.542514,871.4355073877912
C0G880,二水,彰化縣,二水鄉,23.812778,120.609028,23.810742,120.6173,871.4293052357481
C0A870,五指山,新北市,汐止區,25.133889,121.600278,25.132153,121.608692,868.733746288148
C0A570,桶後,新北市,烏來區,24.850056,121.589639,24.848222,121.597992,867.1405393436647
C0U720,南山,宜蘭縣,大同鄉,24.439167,121.373333,24.437419,121.381669,865.9707077597915
C0A940,金山,新北市,金山區,25.225278,121.635556,25.223628,121.643967,865.743327178791
C0G900,線西,彰化縣,線西鄉,24.141081,120.435381,24.143358,120.443536,865.3489790300022
C2E540,龍溪,苗栗縣,後龍鎮,24.608056,120.775556,24.606489,120.783933,864.6249010653264
C0H990,昆陽,南投縣,仁愛鄉,24.123139,121.265361,24.121322,121.273642,864.3418966820695
C0V490,新興,高雄市,新興區,22.629111,120.290583,22.627422,120.298803,864.3126596542594
C2A560,福山,新北市,烏來區,24.778333,121.494583,24.776203,121.502811,863.7934619953603
C0T900,西林,花蓮縣,萬榮鄉,23.813667,121.433194,23.8119,121.441458,863.3423857176687
C0I080,信義,南投縣,信義鄉,23.691389,120.842778,23.689694,120.851036,861.7300004143796
C0T790,大禹嶺,花蓮縣,秀林鄉,24.187944,121.307833,24.186117,121.316086,861.4279987865419
C0A980,社子,臺北市,士林區,25.111389,121.461389,25.109508,121.469681,860.6893453605802
C0AD30,蘆洲,新北市,蘆洲區,25.088528,121.464056,25.086594,121.472331,860.6339614540445
C0V350,溪埔,高雄市,大樹區,22.740278,120.438611,22.738578,120.446797,860.5100087236119
C0Z020,明里,花蓮縣,富里鄉,23.210556,121.254167,23.208717,121.262342,860.1123076397345
C0R540,佳冬,屏東縣,佳冬鄉,22.421194,120.544222,22.419456,120.552375,860.0394630996376
C0C490,八德,桃園市,八德區,24.930528,121.275,24.928708,121.283289,859.9683614661077
C0E940,雪見,苗栗縣,泰安鄉,24.4277,121.0052,24.42595,121.01347,859.5856080245542
C0C650,平鎮,桃園市,平鎮區,24.899444,121.206389,24.897503,121.214636,859.337020495457
C2A650,火燒寮,新北市,平溪區,25.004411,121.734572,25.002719,121.742892,859.288715589947
C0AI40,石牌,臺北市,北投區,25.117336,121.504825,25.115597,121.513139,859.1071084869128
C0R320,車城,屏東縣,車城鄉,22.075833,120.708056,22.0744,120.716247,858.9380940399757
C0FB10,出雲山苗圃,臺中市,和平區,24.2328,120.8965,24.23105,120.90475,858.8655771037403
C0Z070,舞鶴,花蓮縣,瑞穗鄉,23.469722,121.365833,23.468114,121.374069,858.8608829281361
C2G640,鹿港,彰化縣,鹿港鎮,24.076944,120.422222,24.0753,120.430481,858.1620043095315
C0E610,馬都安,苗栗縣,泰安鄉,24.453056,120.921944,24.451272,120.930192,858.1189042796751
C2O950,安南,臺南市,安南區,23.078333,120.136667,23.076694,120.144861,857.8021119991056
C0F9K0,大安,臺中市,大安區,24.347444,120.579972,24.345061,120.588025,857.7742764746943
C0A640,石碇,新北市,石碇區,24.995758,121.654639,24.993969,121.662917,857.6544079898731
C0C620,蘆竹,桃園市,蘆竹區,25.086111,121.2575,25.084275,121.265767,857.2090968025379
C0D480,打鐵坑,新竹縣,新埔鎮,24.85175,121.142611,24.849664,121.150789,857.1329965930375
C0V450,鳳森,高雄市,小港區,22.546944,120.3845,22.545064,120.392592,856.91016329275
C0F9V0,新社,臺中市,新社區,24.201583,120.8075,24.200172,120.815806,856.9007635995187
C0C790,東眼山,桃園市,復興區,24.8301,121.4006,24.8284,121.40888,856.7030895126078
C0E780,銅鑼,苗栗縣,銅鑼鄉,24.491528,120.782639,24.489681,120.790853,856.1773976976903
C0FB00,大雪山,臺中市,和平區,24.2562,120.9991,24.254668,121.007374,855.9328478199068
C0V440,鳳山,高雄市,鳳山區,22.648611,120.348056,22.646653,120.356122,855.8933469429948
C0UB70,太平山中間站,宜蘭縣,大同鄉,24.5437,121.5052,24.542003,121.513453,855.8405019000709
C0O830,北寮,臺南市,南化區,23.081611,120.486944,23.079561,120.495008,855.816883231607
C0F9X0,大雅,臺中市,大雅區,24.217056,120.616239,24.215281,120.62445,855.7515620018282
C0T9H0,加路蘭山,花蓮縣,豐濱鄉,23.684706,121.519219,23.682947,121.5274,855.7213610649968
V2C260,八德蔬果,桃園市,八德區,24.980279,121.27356,24.978508,121.281819,855.4307979806497
C0FA80,小雪山天池,臺中市,和平區,24.2825,121.0182,24.28025,121.02627,855.368444489763
C0UB80,翠峰林道6K,宜蘭縣,大同鄉,24.4995,121.5604,24.49773,121.568625,855.1956071240218
C0G620,芬園,彰化縣,芬園鄉,24.017222,120.613056,24.015678,120.6213,854.7515781631013
C0E750,苗栗,苗栗縣,苗栗市,24.566667,120.816444,24.564569,120.824575,854.7415364821617
C2M620,瑞里,嘉義縣,梅山鄉,23.546903,120.667039,23.545133,120.675197,854.5730953374315
C0O960,崎頂,臺南市,龍崎區,22.961306,120.361194,22.959547,120.369317,854.366948236326
C0F9Q0,外埔,臺中市,外埔區,24.349556,120.697472,24.347817,120.705686,854.2873263907512
C0G890,伸港,彰化縣,伸港鄉,24.150528,120.476167,24.148933,120.484403,854.2633936721458
C0I520,玉山風口,南投縣,信義鄉,23.472294,120.947853,23.470489,120.955994,854.2504738395926
C0D750,樂山林道6k,新竹縣,五峰鄉,24.5017,121.0795,24.49999,121.08773,854.1636902858087
C0R350,貓鼻頭,屏東縣,恆春鎮,21.923578,120.727792,21.921689,120.735817,854.0459726561885
C0F9L0,后里,臺中市,后里區,24.312111,120.7215,24.310436,120.729725,854.0322818132304
C0F9S0,烏日,臺中市,烏日區,24.108833,120.615917,24.107058,120.624103,853.9695343656604
C0AD40,土城,新北市,土城區,24.974944,121.436917,24.973208,121.445169,853.8909886842206
C0U520,雙連埤,宜蘭縣,員山鄉,24.754722,121.633056,24.753033,121.641303,853.6786060978342
CAE560,國一S144K,苗栗縣,銅鑼鄉,24.438818,120.770016,24.437042,120.778219,853.5729226394303
C0E960,觀霧分站,苗栗縣,泰安鄉,24.5075,121.1057,24.505781,121.113921,853.462111357466
C0V710,苓雅,高雄市,苓雅區,22.624528,120.322583,22.622742,120.330669,853.3660926448199
C0U650,玉蘭,宜蘭縣,大同鄉,24.677222,121.578889,24.675286,121.587061,853.3061406794042
C0R470,高樹,屏東縣,高樹鄉,22.828222,120.592722,22.826389,120.600806,853.1993593474523
C0G780,秀水,彰化縣,秀水鄉,24.035917,120.495722,24.03405,120.503869,853.0083580185517
C0V690,鼓山,高雄市,鼓山區,22.625139,120.2675,22.623325,120.275575,852.9954759141087
C0R550,新埤,屏東縣,新埤鄉,22.469778,120.574833,22.467947,120.582894,852.9540886395483
