sitename,county,aqi,distance_from_taipei_km,latitude,longitude,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,siteid
基隆,基隆市,33,26.1,25.129167,121.760056,,良好,1,0.25,29,23,19,7,11,14.2,3.1,2.6,242,2026/03/02 15:00:00,0.3,8.3,17,1,1
汐止,新北市,49,12.64,25.06624,121.64081,,良好,1,0.27,21,17,27,12,18,24.8,6.6,1.7,258,2026/03/02 15:00:00,0.3,12.2,21,1,2
新店,新北市,49,8.12,24.977222,121.537778,,良好,1,0.28,26,18,23,10,17,21.4,3.9,2.1,321,2026/03/02 15:00:00,0.4,12.2,23,0,4
土城,新北市,41,9.79,24.982528,121.451861,,良好,0.4,0.23,28,19,21,11,11,13.9,2.6,1.6,272,2026/03/02 15:00:00,0.4,10.2,21,0,5
板橋,新北市,50,7.04,25.012972,121.458667,,良好,0.8,0.24,27,21,25,9,10,11.8,1.6,3.5,276,2026/03/02 15:00:00,0.4,12.3,22,0,6
新莊,新北市,43,8.58,25.037972,121.4325,,良好,0.6,0.16,30,21,20,8,6,7.9,1.4,2.9,249,2026/03/02 15:00:00,0.3,10.7,22,0,7
菜寮,新北市,42,4.32,25.06895,121.481028,,良好,,,,16,,9,,,,1.9,9,2026/03/02 15:00:00,0.4,10.4,17,0,8
林口,新北市,35,15.63,25.07798949,121.36548982,,良好,1.1,0.18,27,22,14,10,7,10.4,2.8,2.6,266,2026/03/02 15:00:00,0.2,8.7,16,0,9
淡水,新北市,29,14.66,25.1645,121.449239,,良好,1.4,0.22,26,20,14,8,12,15.1,2.7,,,2026/03/02 15:00:00,0.3,7,13,1,10
士林,臺北市,32,6.18,25.10334003,121.51666356,,良好,0.5,0.2,24,17,27,7,11,14.4,2.8,0.8,288,2026/03/02 15:00:00,0.3,6.6,19,0,11
中山,臺北市,53,1.88,25.062361,121.526528,細懸浮微粒,普通,0.8,0.43,,14,,,20,30.3,9.7,1.4,349,2026/03/02 15:00:00,0.7,13.4,23,0,12
萬華,臺北市,53,0.92,25.046503,121.507972,二氧化氮,普通,1,0.45,12,15,25,16,25,34.9,9.1,1.1,337,2026/03/02 15:00:00,0.4,11.8,21,0,13
