COUNTYNAME,TOWNNAME,households,population,male,female
新北市,板橋區,238569,549515,265180,284335
新北市,三重區,172913,382749,186440,196309
新北市,中和區,183037,403396,193400,209996
新北市,永和區,95788,211205,99363,111842
新北市,新莊區,177321,420922,203732,217190
新北市,新店區,143782,306636,146119,160517
新北市,樹林區,71908,177130,87712,89418
新北市,鶯歌區,37182,89435,44586,44849
新北市,三峽區,49137,115090,57124,57966
新北市,淡水區,106666,208573,98708,109865
新北市,汐止區,102449,212807,102934,109873
新北市,瑞芳區,16273,35529,17928,17601
新北市,土城區,102213,242735,118233,124502
新北市,蘆洲區,78932,196186,95650,100536
新北市,五股區,41255,94818,47119,47699
新北市,泰山區,32470,78118,38330,39788
新北市,林口區,61096,138630,66995,71635
新北市,深坑區,10703,23605,11735,11870
新北市,石碇區,3321,6891,3757,3134
新北市,坪林區,2553,6143,3297,2846
新北市,三芝區,10762,22025,11302,10723
新北市,石門區,4250,9953,5196,4757
新北市,八里區,19992,43430,21475,21955
新北市,平溪區,2101,3885,2197,1688
新北市,雙溪區,3516,7415,4033,3382
新北市,貢寮區,4247,10395,5269,5126
新北市,金山區,7659,19672,9710,9962
新北市,萬里區,7942,20152,9990,10162
新北市,烏來區,1912,6180,3001,3179
臺北市,松山區,81150,187065,86893,100172
臺北市,信義區,90929,201012,94274,106738
臺北市,大安區,120735,281679,129814,151865
臺北市,中山區,103465,211649,96630,115019
臺北市,中正區,65826,143821,67763,76058
臺北市,大同區,54543,116438,55519,60919
臺北市,萬華區,81258,168261,81124,87137
臺北市,文山區,110769,253272,119803,133469
臺北市,南港區,49512,111175,53499,57676
臺北市,內湖區,112145,267345,126144,141201
臺北市,士林區,109413,257504,123054,134450
臺北市,北投區,101256,235258,111663,123595
桃園市,桃園區,209386,478629,229534,249095
桃園市,中壢區,190770,439290,213576,225714
桃園市,大溪區,37707,93701,47400,46301
桃園市,楊梅區,74546,182936,91109,91827
桃園市,蘆竹區,70400,170423,83683,86740
桃園市,大園區,37878,90014,45495,44519
桃園市,龜山區,87198,188562,92406,96156
桃園市,八德區,88392,216054,106534,109520
桃園市,龍潭區,51141,127235,63015,64220
桃園市,平鎮區,90408,227870,112205,115665
桃園市,新屋區,20017,49730,26218,23512
桃園市,觀音區,31982,77734,39940,37794
桃園市,復興區,4151,13334,6923,6411
臺中市,中區,8983,18082,8790,9292
臺中市,東區,33903,77762,38053,39709
臺中市,南區,57973,128261,60821,67440
臺中市,西區,51493,113237,52950,60287
臺中市,北區,67668,143563,67806,75757
臺中市,西屯區,105338,237978,112782,125196
臺中市,南屯區,80167,186106,88015,98091
臺中市,北屯區,137901,317532,150057,167475
臺中市,豐原區,60549,161597,79105,82492
臺中市,東勢區,18623,46411,23551,22860
臺中市,大甲區,26703,72999,36509,36490
臺中市,清水區,35747,90585,46068,44517
臺中市,沙鹿區,39118,101540,50704,50836
臺中市,梧棲區,26729,66349,32930,33419
臺中市,后里區,18780,52714,26445,26269
臺中市,神岡區,22404,63212,32245,30967
臺中市,潭子區,42428,109275,53629,55646
臺中市,大雅區,34068,94683,46965,47718
臺中市,新社區,8459,22541,11622,10919
臺中市,石岡區,5120,13652,7015,6637
臺中市,外埔區,11254,30743,15677,15066
臺中市,大安區,6164,17405,9136,8269
臺中市,烏日區,33455,82190,40630,41560
臺中市,大肚區,20649,55151,27970,27181
臺中市,龍井區,29583,79263,39695,39568
臺中市,霧峰區,23049,62494,31686,30808
臺中市,太平區,79836,201696,98915,102781
臺中市,大里區,80747,210922,102458,108464
臺中市,和平區,4736,10466,5542,4924
臺南市,新營區,31963,74481,36385,38096
臺南市,鹽水區,10444,23569,12249,11320
臺南市,白河區,10786,24858,12930,11928
臺南市,柳營區,8398,19787,10285,9502
臺南市,後壁區,9028,20755,10713,10042
臺南市,東山區,8193,18408,9816,8592
臺南市,麻豆區,17885,42796,21639,21157
臺南市,下營區,9499,21694,11166,10528
臺南市,六甲區,8601,20826,10743,10083
臺南市,官田區,8701,20491,10440,10051
臺南市,大內區,3663,8412,4508,3904
臺南市,佳里區,23554,58250,28682,29568
臺南市,學甲區,10305,24339,12470,11869
臺南市,西港區,9691,24834,12497,12337
臺南市,七股區,8125,20471,10592,9879
臺南市,將軍區,7129,17566,8961,8605
臺南市,北門區,3928,9395,4737,4658
臺南市,新化區,16213,41898,21148,20750
臺南市,善化區,23434,53935,27102,26833
臺南市,新市區,15839,38259,19211,19048
臺南市,安定區,11915,29729,15293,14436
臺南市,山上區,2784,6772,3588,3184
臺南市,玉井區,5439,12648,6531,6117
臺南市,楠西區,3554,8359,4409,3950
臺南市,南化區,2832,7563,4066,3497
臺南市,左鎮區,1783,4094,2329,1765
臺南市,仁德區,32370,77479,38799,38680
臺南市,歸仁區,27688,70738,35486,35252
臺南市,關廟區,12645,33135,16903,16232
臺南市,龍崎區,1432,3212,1765,1447
臺南市,永康區,98870,235963,115177,120786
臺南市,東區,79243,180556,85470,95086
臺南市,南區,50450,118889,58197,60692
臺南市,北區,55821,125370,60377,64993
臺南市,安南區,78741,204659,102278,102381
臺南市,安平區,32604,71477,33344,38133
臺南市,中西區,34599,75577,36373,39204
高雄市,鹽埕區,11154,21835,10717,11118
高雄市,鼓山區,64821,140585,66688,73897
高雄市,左營區,89350,197644,93363,104281
高雄市,楠梓區,86242,195569,95063,100506
高雄市,三民區,149899,328532,156619,171913
高雄市,新興區,25119,49328,23370,25958
高雄市,前金區,15294,27630,12843,14787
高雄市,苓雅區,77308,160900,76055,84845
高雄市,前鎮區,82669,176568,85742,90826
高雄市,旗津區,10540,24837,12686,12151
高雄市,小港區,72024,153274,75276,77998
高雄市,鳳山區,154865,352745,170690,182055
高雄市,林園區,28531,67238,33595,33643
高雄市,大寮區,47722,112107,56587,55520
高雄市,大樹區,15026,39805,20219,19586
高雄市,大社區,14515,33672,17005,16667
高雄市,仁武區,44396,100418,50292,50126
高雄市,鳥松區,20545,43625,21794,21831
高雄市,岡山區,38287,94519,46449,48070
高雄市,橋頭區,19385,43389,21618,21771
高雄市,燕巢區,11454,28298,14745,13553
高雄市,田寮區,2953,6104,3376,2728
高雄市,阿蓮區,9962,26702,13365,13337
高雄市,路竹區,18012,48841,24746,24095
高雄市,湖內區,12032,29251,14857,14394
高雄市,茄萣區,10954,28660,14574,14086
高雄市,永安區,5842,13467,6662,6805
高雄市,彌陀區,6982,17700,8981,8719
高雄市,梓官區,14032,34632,17699,16933
高雄市,旗山區,14400,33311,17045,16266
高雄市,美濃區,16077,36002,18929,17073
高雄市,六龜區,5408,11228,6029,5199
高雄市,甲仙區,2294,5253,2761,2492
高雄市,杉林區,4850,10523,5751,4772
高雄市,內門區,5272,12513,6736,5777
高雄市,茂林區,638,1857,910,947
高雄市,桃源區,1459,4158,2161,1997
高雄市,那瑪夏區,953,3107,1591,1516
宜蘭縣,宜蘭市,41175,94396,45765,48631
宜蘭縣,羅東鎮,28891,68850,32487,36363
宜蘭縣,蘇澳鎮,15212,36342,18413,17929
宜蘭縣,頭城鎮,11572,27776,14260,13516
宜蘭縣,礁溪鄉,17773,36577,18712,17865
宜蘭縣,壯圍鄉,10334,24513,12769,11744
宜蘭縣,員山鄉,13654,32238,16924,15314
宜蘭縣,冬山鄉,22341,52904,26677,26227
宜蘭縣,五結鄉,18519,41757,20983,20774
宜蘭縣,三星鄉,10110,21347,11432,9915
宜蘭縣,大同鄉,2081,5968,3205,2763
宜蘭縣,南澳鄉,2191,6197,3126,3071
新竹縣,竹北市,90551,221005,109740,111265
新竹縣,關西鎮,9887,25978,13939,12039
新竹縣,新埔鎮,13792,33490,17845,15645
新竹縣,竹東鎮,39770,97844,49250,48594
新竹縣,湖口鄉,35175,85086,42822,42264
新竹縣,橫山鄉,4520,11900,6403,5497
新竹縣,新豐鄉,23603,59877,30677,29200
新竹縣,芎林鄉,8241,20368,10784,9584
新竹縣,寶山鄉,6636,14586,7837,6749
新竹縣,北埔鄉,3184,8281,4521,3760
新竹縣,峨眉鄉,2121,4970,2730,2240
新竹縣,尖石鄉,2990,9449,4922,4527
新竹縣,五峰鄉,1787,4390,2347,2043
苗栗縣,苗栗市,35255,85671,42322,43349
苗栗縣,頭份市,43531,108294,54555,53739
苗栗縣,苑裡鎮,16861,43139,22456,20683
苗栗縣,通霄鎮,11948,30568,16206,14362
苗栗縣,竹南鎮,36711,91494,45937,45557
苗栗縣,後龍鎮,13120,33483,17656,15827
苗栗縣,卓蘭鎮,5795,14429,7537,6892
苗栗縣,大湖鄉,5146,12261,6545,5716
苗栗縣,公館鄉,11574,30443,15831,14612
苗栗縣,銅鑼鄉,6451,16034,8474,7560
苗栗縣,南庄鄉,3814,8566,4679,3887
苗栗縣,頭屋鄉,3760,9351,4992,4359
