TOWNCODE,COUNTYNAME,TOWNNAME,households,population,male,female,high_count,medium_count,low_count,safe_count,high_capacity,medium_capacity,low_capacity,safe_capacity,risk_capacity,required_safe_capacity,capacity_gap,gap_flag
65000010,新北市,板橋區,238569,549515,265180,284335,10,12,9,0,11129,13982,12498,0,37609,109903.0,109903.0,True
68000010,桃園市,桃園區,209386,478629,229534,249095,25,19,10,2,13049,4165,8400,154,25614,95725.8,95571.8,True
68000020,桃園市,中壢區,190770,439290,213576,225714,52,20,22,0,35254,9190,14528,0,58972,87858.0,87858.0,True
65000050,新北市,新莊區,177321,420922,203732,217190,17,10,9,0,12743,6443,6862,0,26048,84184.4,84184.4,True
65000030,新北市,中和區,183037,403396,193400,209996,1,9,12,0,92,11211,16182,0,27485,80679.2,80679.2,True
65000020,新北市,三重區,172913,382749,186440,196309,8,14,14,0,8821,6112,15085,0,30018,76549.8,76549.8,True
64000120,高雄市,鳳山區,154865,352745,170690,182055,13,12,11,0,11856,12416,14274,0,38546,70549.0,70549.0,True
64000050,高雄市,三民區,149899,328532,156619,171913,24,7,7,0,20328,4909,9480,0,34717,65706.4,65706.4,True
66000080,臺中市,北屯區,137901,317532,150057,167475,17,12,3,0,16026,12244,1433,0,29703,63506.4,63506.4,True
65000060,新北市,新店區,143782,306636,146119,160517,26,7,1,0,26112,13423,250,0,39785,61327.2,61327.2,True
63000100,臺北市,內湖區,112145,267345,126144,141201,10,12,4,0,6338,2263,346,0,8947,53469.0,53469.0,True
63000110,臺北市,士林區,109413,257504,123054,134450,23,3,7,0,3598,284,331,0,4213,51500.8,51500.8,True
63000080,臺北市,文山區,110769,253272,119803,133469,24,6,2,0,3553,787,161,0,4501,50654.4,50654.4,True
66000060,臺中市,西屯區,105338,237978,112782,125196,6,9,8,0,4957,8683,7099,0,20739,47595.6,47595.6,True
65000130,新北市,土城區,102213,242735,118233,124502,9,2,8,6,4457,1330,6848,1216,12635,48547.0,47331.0,True
67000310,臺南市,永康區,98870,235963,115177,120786,8,8,13,0,1364,17957,43663,0,62984,47192.6,47192.6,True
63000120,臺北市,北投區,101256,235258,111663,123595,19,5,2,2,6335,472,40,50,6847,47051.6,47001.6,True
68000100,桃園市,平鎮區,90408,227870,112205,115665,23,25,0,0,3745,4125,0,0,7870,45574.0,45574.0,True
63000030,臺北市,大安區,120735,281679,129814,151865,4,1,10,42,739,62,48667,11547,49468,56335.8,44788.8,True
10018010,新竹市,東區,92413,222153,109629,112524,11,15,6,0,26372,35235,7725,0,69332,44430.6,44430.6,True
10004010,新竹縣,竹北市,90551,221005,109740,111265,7,5,0,0,5385,3350,0,0,8735,44201.0,44201.0,True
10007010,彰化縣,彰化市,85276,220067,107746,112321,9,8,6,0,634,2113,998,0,3745,44013.4,44013.4,True
68000080,桃園市,八德區,88392,216054,106534,109520,13,23,36,1,1193,1861,3888,75,6942,43210.8,43135.8,True
65000110,新北市,汐止區,102449,212807,102934,109873,21,2,1,0,15795,1343,203,0,17341,42561.4,42561.4,True
65000040,新北市,永和區,95788,211205,99363,111842,7,6,3,0,4273,10115,2878,0,17266,42241.0,42241.0,True
66000280,臺中市,大里區,80747,210922,102458,108464,24,14,3,0,9900,11645,920,0,22465,42184.4,42184.4,True
63000040,臺北市,中山區,103465,211649,96630,115019,10,1,9,3,1143,2432,1384,371,4959,42329.8,41958.8,True
65000100,新北市,淡水區,106666,208573,98708,109865,16,11,2,2,9010,6660,200,130,15870,41714.6,41584.6,True
66000270,臺中市,太平區,79836,201696,98915,102781,13,11,0,0,27081,15883,0,0,42964,40339.2,40339.2,True
64000030,高雄市,左營區,89350,197644,93363,104281,15,12,1,0,9783,3502,1018,0,14303,39528.8,39528.8,True
65000140,新北市,蘆洲區,78932,196186,95650,100536,1,8,11,0,58,2208,12896,0,15162,39237.2,39237.2,True
