避難收容處所名稱,縣市及鄉鎮市區,經度,緯度,is_indoor,nearest_station,nearest_aqi,distance_km,risk_label
五峰活動中心,新竹縣,121.073,24.386,True,三義,33,31.75,Normal
金門縣烈嶼鄉林湖村辦公處,金門縣烈嶼鄉,118.248571,24.428328,True,金門,35,6.46,Normal
南坑村集會所暨南外社區活動中心,新竹縣北埔鄉,121.0561,24.6725,True,竹東,20,8.3,Normal
霞雲社區活動中心,桃園市復興區,121.406238,24.814018,True,新北（樹林）,52,15.19,Normal
澤仁里辦公處,桃園市復興區,121.351987,24.820601,True,龍潭,40,14.5,Normal
奎輝里活動中心,桃園市復興區,121.334302,24.797047,True,龍潭,40,14.03,Normal
高義教會,桃園市復興區,121.354462,24.706112,True,龍潭,40,22.41,Normal
東莒老人活動中心,連江縣莒光鄉,119.977206,25.956666,True,馬祖,32,22.05,Normal
福正風景管理處,連江縣莒光鄉,119.985351,25.961848,True,馬祖,32,21.58,Normal
莒光指揮部國軍文康中心,連江縣莒光鄉,119.932125,25.97828,True,馬祖,32,19.62,Normal
田沃老人活動中心,連江縣莒光鄉,119.944922,25.972438,True,馬祖,32,20.17,Normal
青帆老人活動中心,連江縣莒光鄉,119.933712,25.969995,True,馬祖,32,20.52,Normal
敬恆國中小禮堂,連江縣莒光鄉,119.933934,25.970819,True,馬祖,32,20.43,Normal
東莒國小綜合教室,連江縣莒光鄉,119.97711,25.957484,True,馬祖,32,21.96,Normal
上大社區活動中心,桃園市觀音區,121.147333,24.978234,True,平鎮,40,6.37,Normal
武威社區活動中心,桃園市觀音區,121.073317,25.028242,True,觀音,38,1.26,Normal
塔腳社區活動中心,桃園市觀音區,121.154708,25.049298,True,大園,38,4.99,Normal
廣福社區活動中心,桃園市觀音區,121.153383,25.019018,True,大園,38,6.8,Normal
草漯國民小學,桃園市觀音區,121.142939,25.045941,True,觀音,38,6.16,Normal
上大國民小學,桃園市觀音區,121.146755,24.979129,True,平鎮,40,6.47,Normal
崙坪國民小學,桃園市觀音區,121.162676,24.999596,True,平鎮,40,6.67,Normal
富林國民小學,桃園市觀音區,121.1285,25.062195,True,觀音,38,5.47,Normal
樹林國民小學,桃園市觀音區,121.128468,25.062176,True,觀音,38,5.47,Normal
觀音區公所綠資源中心,桃園市觀音區,121.083597,25.028281,True,觀音,38,0.81,Normal
空軍第737戰術戰鬥機聯隊,臺東縣臺東市,121.182415,22.79635,True,臺東,27,5.61,Normal
高雄市前鎮區光華國民小學,高雄市前鎮區,120.32,22.615,True,復興,118,1.08,High Risk
大武國小,臺東縣大武鄉,120.905497,22.365009,True,屏東（枋山）,31,28.58,Normal
尖山國小操場,苗栗縣頭份市,120.894048,24.64686,False,頭份,36,5.58,Normal
高雄市小港區鳳林國民小學,高雄市小港區,120.343,22.527,True,小港,104,4.35,High Risk
大武社區活動中心,屏東縣霧臺鄉,120.754782,22.757534,True,美濃,68,26.92,Normal
和平國小,花蓮縣秀林鄉,121.748879,24.308073,True,冬山,38,36.32,Normal
佳義社區活動中心,屏東縣瑪家鄉,120.630874,22.653475,True,屏東,78,14.82,Normal
中東社區活動中心,彰化縣員林市,120.599689,23.971414,True,員林,59,3.87,Normal
崇實高工體育館,彰化縣員林市,120.574848,23.961057,True,員林,59,1.19,Normal
東芳國小,彰化縣彰化市,120.516345,24.062538,True,彰化,53,2.58,Normal
三義社區活動中心,彰化縣員林市,120.563531,23.95268,True,員林,59,0.99,Normal
